등록번호 기관 코드,행정구역,출장소구분,기관_명,변동일자,변경전_등록번호_기관_코드,변경전_기관_명,사용_여부
1120,서울특별시 마포구,출장소아님,마포구,,,,사용
1100,서울특별시,,서울특별시,,,,사용
1111,서울특별시 종로구,출장소아님,종로구,,,,사용
1112,서울특별시 중구,출장소아님,중구,,,,사용
1113,서울특별시 용산구,출장소아님,용산구,,,,사용
1114,서울특별시 성동구,출장소아님,성동구,,,,사용
1115,서울특별시 동대문구,출장소아님,동대문구,,,,사용
1117,서울특별시 도봉구,출장소아님,도봉구,,,,사용
1118,서울특별시 은평구,출장소아님,은평구,,,,사용
1119,서울특별시 서대문구,출장소아님,서대문구,,,,사용
1121,서울특별시 강서구,출장소아님,강서구,,,,사용
1122,서울특별시 구로구,출장소아님,구로구,,,,사용
1123,서울특별시 영등포구,출장소아님,영등포구,,,,사용
1124,서울특별시 동작구,출장소아님,동작구,,,,사용
1125,서울특별시 관악구,출장소아님,관악구,,,,사용
1126,서울특별시 강남구,출장소아님,강남구,,,,사용
1127,서울특별시 강동구,출장소아님,강동구,,,,사용
1128,서울특별시 중랑구,출장소아님,중랑구,1988-01-01,1115,동대문구,사용
1129,서울특별시 노원구,출장소아님,노원구,1988-01-01,1117,도봉구,사용
1130,서울특별시 양천구,출장소아님,양천구,1988-01-01,1121,강서구,사용
1131,서울특별시 서초구,출장소아님,서초구,1988-01-01,1126,강남구,사용
1132,서울특별시 송파구,출장소아님,송파구,1988-01-01,1127,강동구,사용
2100,부산광역시,,부산광역시,,,,사용
2111,부산광역시 중구,출장소아님,중 구,,,,사용
2112,부산광역시 서구,출장소아님,서 구,,,,사용
2113,부산광역시 동구,출장소아님,동 구,,,,사용
2114,부산광역시 영도구,출장소아님,영도구,,,,사용
2115,부산광역시 부산진구,출장소아님,부산진구,,,,사용
2116,부산광역시 동래구,출장소아님,동래구,,,,사용
2117,부산광역시 남구,출장소아님,남 구,,,,사용
2118,부산광역시 북구,출장소아님,북 구,,,,사용
2119,부산광역시 해운대구,출장소아님,해운대구,,,,사용
2120,부산광역시 사하구,출장소아님,사하구,,,,사용
2121,부산광역시 금정구,출장소아님,금정구,1988-01-01,2116,동래구,사용
2122,부산광역시 강서구,출장소아님,강서구,1989-01-01,3839,의창군,사용
2200,대구광역시,,대구광역시,,,,사용
2211,대구광역시 중구,출장소아님,중 구,,,,사용
2212,대구광역시 동구,출장소아님,동 구,,,,사용
2213,대구광역시 서구,출장소아님,서구,,,,사용
2214,대구광역시 남구,출장소아님,남 구,,,,사용
2215,대구광역시 북구,출장소아님,북 구,,,,사용
2216,대구광역시 수성구,출장소아님,수성구,,,,사용
2217,대구광역시 달서구,출장소아님,달서구,1990-01-01,2213,서구,사용
2300,인천광역시,,인천광역시,,,,사용
2311,인천광역시 중구,출장소아님,중구,1989-01-01,3149,옹진군,사용
2312,인천광역시 동구,출장소아님,동 구,,,,사용
2313,인천광역시 남구,,남 구,,,,미사용
2314,인천광역시 북구,,북 구,1989-01-01,3147,김포군,미사용
2315,인천광역시 남동구,출장소아님,남동구,1988-01-01,2313,남구,사용
2316,인천광역시 서구,출장소아님,서 구,1988-01-01,2314,북 구,사용
2400,광주광역시,,광주광역시,,,,사용
2411,광주광역시 동구,출장소아님,동구,1986-11-01,3601,광주시동구,사용
2412,광주광역시 서구,출장소아님,서 구,1986-11-01,3602,광주시서구,사용
2413,광주광역시 북구,출장소아님,북구,1986-11-01,3603,광주시북구,사용
2414,광주광역시 광산구,출장소아님,광산구,1988-01-01,3616,송정시,사용
2500,대전광역시,,대전광역시,,,,사용
2511,대전광역시 동구,출장소아님,동구,1989-01-01,3401,대전시동구,사용
2512,대전광역시 중구,출장소아님,중구,1989-01-01,3402,대전시중구,사용
2513,대전광역시 서구,출장소아님,서구,1989-01-01,3403,대전시서구,사용
2514,대전광역시 유성구,출장소아님,유성구,1989-01-01,3432,대덕군,사용
2515,대전광역시 대덕구,출장소아님,대덕구,1989-01-01,3432,대덕군,사용
3100,경기도,,경기도,,,,사용
3101,경기도 부천시 소사구,출장소아님,부천시소사구,1988-01-01,3115,부천시,미사용
3102,경기도 부천시 원미구,출장소아님,부천시원미구,1988-01-01,3115,부천시,미사용
3103,경기도 수원시 장안구,출장소아님,수원시장안구,1988-07-01,3111,수원시,사용
3104,경기도 수원시 권선구,출장소아님,수원시권선구,1988-07-01,3111,수원시,사용
3105,경기도 성남시 수정구,출장소아님,성남시수정구,1989-05-01,3112,성남시,사용
3106,경기도 성남시 중원구,출장소아님,성남시중원구,1989-05-01,3112,성남시,사용
3150,경기도 남양주시,출장소아님,남양주시,1995-01-01,3123,미금시,사용
3410,충청남도 대전시,,대전시,,,,미사용
3113,경기도 의정부시,출장소아님,의정부시,,,,사용
3631,,,광산군,,,,미사용
3109,경기도 안양시 동안구,출장소아님,안양시동안구,1992-10-01,3114,안양시,사용
3111,경기도 수원시,출장소아님,수원시,,,,미사용
3616,,,송정시,1986-11-01,3631,광산군,미사용
3116,경기도 광명시,출장소아님,광명시,,,,사용
3117,경기도 송탄시,,송탄시,1981-07-01,3134,평택군,미사용
3118,경기도 동두천시,출장소아님,동두천시,,,,사용
3119,경기도 구리시,출장소아님,구리시,,,,사용
3120,경기도 평택시,출장소,평택시,,3117,송탄시,사용
3121,경기도 과천시,출장소아님,과천시,,,,사용
3122,경기도 안산시 단원구,출장소아님,단원구,1994-12-26,3135,화성군,미사용
3123,경기도 미금시,,미금시,1989-01-01,3132,남양주군,미사용
3124,경기도 오산시,출장소아님,오산시,1989-01-01,3135,화성군,사용
3125,경기도 시흥시,출장소아님,시흥시,1989-01-01,3136,시흥군,사용
3126,경기도 군포시,출장소아님,군포시,1989-01-01,3136,시흥군,사용
3127,경기도 의왕시,출장소아님,의왕시,1989-01-01,3136,시흥군,사용
3128,경기도 하남시,출장소아님,하남시,1989-01-01,3139,광주군,사용
3131,경기도 양주군,,양주군,,,,미사용
3132,경기도 남양주군,,남양주군,,,,미사용
3133,경기도 여주군,,여주군,,,,미사용
3134,경기도 평택군,,평택군,,,,미사용
3135,경기도 화성군,,화성군,,,,미사용
3130,경기도 수원시 팔달구,출장소아님,수원시팔달구,1994-12-26,3135,화성군,사용
3137,경기도 파주군,,파주군,,,,미사용
3311,충청북도 청주시,출장소아님,청주시,,,,미사용
3139,경기도 광주군,,광주군,,,,미사용
3140,경기도 연천군,출장소아님,연천군,,,,사용
3141,경기도 포천군,,포천군,,,,미사용
3142,경기도 가평군,출장소아님,가평군,,,,사용
3143,경기도 양평군,출장소아님,양평군,,,,사용
3144,경기도 이천군,,이천군,,,,미사용
3145,경기도 용인군,,용인군,,,,미사용
3146,경기도 안성군,,안성군,,,,미사용
3147,경기도 김포군,,김포군,,,,미사용
3148,경기도 강화군,,강화군,,,,미사용
3149,경기도 옹진군,,옹진군,,,,미사용
3300,충청북도,,충청북도,,,,사용
3403,,,대전시서구,1989-01-01,2512,중구,미사용
1133,서울특별시 광진구,출장소아님,광진구,1995-03-01,1114,성동구,사용
1134,서울특별시 강북구,출장소아님,강북구,1995-03-01,1117,도봉구,사용
3312,충청북도 충주시,출장소아님,충주시,1995-01-01,3338,중원군,사용
3313,충청북도 제천시,출장소아님,제천시,1995-01-01,3339,제천군,사용
3331,충청북도 청원군,,청원군,,,,미사용
3332,충청북도 보은군,출장소아님,보은군,,,,사용
3333,충청북도 옥천군,출장소아님,옥천군,,,,사용
3334,충청북도 영동군,출장소아님,영동군,,,,사용
3335,충청북도 진천군,출장소아님,진천군,,,,사용
3336,충청북도 괴산군,출장소아님,괴산군,,,,사용
3337,충청북도 음성군,출장소아님,음성군,,,,사용
3338,충청북도 중원군,,중원군,,,,미사용
3339,충청북도 제천군,,제천군,,,,미사용
3340,충청북도 단양군,출장소아님,단양군,,,,사용
3400,충청남도,,충청남도,,,,사용
3402,,,대전시중구,,,,미사용
3401,,,대전시동구,,,,미사용
3812,경상남도 울산시,,울산시,,,,미사용
3811,경상남도 마산시,,마산시,2001-01-01,3839,창원군,미사용
3411,충청남도 천안시,출장소,천안시,,3445,천안군,미사용
3412,충청남도 공주시,출장소아님,공주시,1986-01-01,3434,공주군,사용
3413,충청남도 대천시,,대천시,1986-01-01,3438,보령군,미사용
3414,충청남도 온양시,,온양시,1986-01-01,3444,아산군,미사용
3415,충청남도 서산시,출장소아님,서산시,1989-01-01,3442,서산군,사용
3431,충청남도 금산군,출장소아님,금산군,,,,사용
3511,전라북도 전주시,출장소아님,전주시,,,,미사용
3433,충청남도 연기군,,연기군,,,,미사용
3434,충청남도 공주군,,공주군,,,,미사용
3432,충청남도 대덕군,,대덕군,,,,미사용
3436,충청남도 부여군,출장소아님,부여군,,,,사용
3437,충청남도 서천군,출장소아님,서천군,,,,사용
3438,충청남도 보령군,,보령군,,,,미사용
3439,충청남도 청양군,출장소아님,청양군,,,,사용
3440,충청남도 홍성군,출장소아님,홍성군,,,,사용
3441,충청남도 예산군,출장소아님,예산군,,,,사용
3442,충청남도 서산군,,서산군,,,,미사용
3443,충청남도 당진군,,당진군,,,,미사용
3444,충청남도 아산군,,아산군,,,,미사용
3445,충청남도 천안군,,천안군,,,,미사용
3446,충청남도 태안군,출장소아님,태안군,1989-01-01,3442,서산군,사용
3500,전라북도,,전라북도,,,,사용
3138,경기도 고양군,,고양군,,,,미사용
3501,전라북도 전주시 완산구,출장소아님,전주시완산구,,3511,전주시,사용
3502,전라북도 전주시 덕진구,출장소아님,전주시덕진구,1989-05-01,3511,전주시,사용
3512,전라북도 군산시,출장소아님,군산시,1995-01-01,3542,옥구군,사용
3513,전라북도 이리시,,이리시,,3543,익산군,미사용
3514,전라북도 정주시,,정주시,1995-01-01,3538,정읍군,미사용
3515,전라북도 남원시,출장소아님,남원시,1995-01-01,3536,남원군,사용
3516,전라북도 김제시,출장소아님,김제시,1989-01-01,3541,김제군,사용
3531,전라북도 완주군,출장소아님,완주군,1994-12-26,3541,김제군,사용
3532,전라북도 진안군,출장소아님,진안군,,,,사용
3533,전라북도 무주군,출장소아님,무주군,,,,사용
3534,전라북도 장수군,출장소아님,장수군,,,,사용
3535,전라북도 임실군,출장소아님,임실군,,,,사용
3536,전라북도 남원군,,남원군,,,,미사용
3537,전라북도 순창군,출장소아님,순창군,,,,사용
3538,전라북도 정읍군,,정읍군,,,,미사용
3539,전라북도 고창군,출장소아님,고창군,,,,사용
3540,전라북도 부안군,출장소아님,부안군,,,,사용
3541,전라북도 김제군,,김제군,,,,미사용
3542,전라북도 옥구군,,옥구군,,,,미사용
3543,전라북도 익산군,,익산군,,,,미사용
3600,전라남도,,전라남도,,,,사용
3611,전라남도 목포시,출장소아님,목포시,,,,사용
3823,경상남도 거제시,출장소,거제시,1995-01-01,3820,장승포시,미사용
3613,전라남도 순천시,출장소아님,순천시,1995-01-01,3637,승주군,사용
3614,전라남도 나주시,출장소아님,나주시,1995-01-01,3646,나주군,사용
3615,전라남도 여천시,,여천시,,3636,여천군,미사용
3114,경기도 안양시,출장소아님,안양시,,,,미사용
3617,전라남도 동광양시,,동광양시,1989-01-01,3635,광양군,미사용
3112,경기도 성남시,출장소아님,성남시,,,,미사용
3632,전라남도 담양군,출장소아님,담양군,,,,사용
3633,전라남도 곡성군,출장소아님,곡성군,,,,사용
3634,전라남도 구례군,출장소아님,구례군,,,,사용
3635,전라남도 광양군,,광양군,,,,미사용
3636,전라남도 여천군,,여천군,,,,미사용
3637,전라남도 승주군,,승주군,,,,미사용
3638,전라남도 고흥군,출장소아님,고흥군,,,,사용
3639,전라남도 보성군,출장소아님,보성군,,,,사용
3640,전라남도 화순군,출장소아님,화순군,,,,사용
3641,전라남도 장흥군,출장소아님,장흥군,,,,사용
3642,전라남도 강진군,출장소아님,강진군,,,,사용
3643,전라남도 해남군,출장소아님,해남군,,,,사용
3644,전라남도 영암군,출장소아님,영암군,,,,사용
3645,전라남도 무안군,출장소아님,무안군,,,,사용
3646,전라남도 나주군,,나주군,,,,미사용
3647,전라남도 함평군,출장소아님,함평군,,,,사용
3648,전라남도 영광군,출장소아님,영광군,,,,사용
3649,전라남도 장성군,출장소아님,장성군,,,,사용
3650,전라남도 완도군,출장소아님,완도군,,,,사용
3651,전라남도 진도군,출장소아님,진도군,,,,사용
3652,전라남도 신안군,출장소아님,신안군,,,,사용
3700,경상북도,,경상북도,,,,사용
3711,경상북도 포항시,출장소아님,포항시,1995-01-01,3738,영일군,미사용
3712,경상북도 경주시,출장소아님,경주시,1995-01-01,3739,경주군,사용
3713,경상북도 김천시,출장소아님,김천시,1995-01-01,3746,금능군,사용
3714,경상북도 안동시,출장소아님,안동시,1995-01-01,3734,안동군,사용
3715,경상북도 구미시,출장소,구미시,1995-01-01,3747,선산군,사용
3716,경상북도 영주시,출장소아님,영주시,1995-01-01,3751,영풍군,사용
3717,경상북도 영천시,출장소아님,영천시,1995-01-01,3740,영천군,사용
3718,경상북도 상주시,출장소아님,상주시,1995-01-01,3748,상주군,사용
3719,경상북도 점촌시,,점촌시,1995-01-01,3749,문경군,미사용
3720,경상북도 경산시,출장소아님,경산시,1989-01-01,3741,경산군,사용
3731,경상북도 달성군,,달성군,,,,미사용
3733,경상북도 의성군,출장소아님,의성군,,,,사용
3734,경상북도 안동군,,안동군,,,,미사용
3735,경상북도 청송군,출장소아님,청송군,,,,사용
3736,경상북도 영양군,출장소아님,영양군,1994-12-26,3753,울진군,사용
3737,경상북도 영덕군,출장소아님,영덕군,,,,사용
3738,경상북도 영일군,,영일군,,,,미사용
3739,경상북도 경주군,,경주군,,,,미사용
3740,경상북도 영천군,,영천군,,,,미사용
3741,경상북도 경산군,,경산군,,,,미사용
3742,경상북도 청도군,출장소아님,청도군,,,,사용
3743,경상북도 고령군,출장소아님,고령군,,,,사용
3744,경상북도 성주군,출장소아님,성주군,,,,사용
3745,경상북도 칠곡군,출장소아님,칠곡군,,,,사용
3746,경상북도 금릉군,,금릉군,,,,미사용
3747,경상북도 선산군,,선산군,,,,미사용
3748,경상북도 상주군,,상주군,,,,미사용
3749,경상북도 문경군,,문경군,,,,미사용
3750,경상북도 예천군,출장소아님,예천군,,,,사용
3751,경상북도 영풍군,,영풍군,,,,미사용
3752,경상북도 봉화군,출장소아님,봉화군,,,,사용
3753,경상북도 울진군,출장소아님,울진군,,,,사용
3754,경상북도 울릉군,출장소아님,울릉군,,,,사용
3800,경상남도,,경상남도,,,,사용
3801,경상남도 울산시 중구,,울산시 중구,1985-07-15,3812,울산시,미사용
3802,경상남도 울산시 남구,,울산시 남구,1985-07-15,3812,울산시,미사용
3803,경상남도 울산시 동구,,울산시 동구,1988-01-01,3801,울산시중구,미사용
3108,경기도 안양시 만안구,출장소아님,안양시만안구,1992-10-01,3114,안양시,사용
3110,경기도 부천시 오정구,출장소아님,부천시오정구,1993-02-01,3115,부천시,미사용
3129,경기도 고양시,출장소아님,고양시,1992-02-01,3138,고양군,미사용
3107,경기도 성남시 분당구,출장소아님,성남시분당구,,3105,성남시수정구,사용
3813,경상남도 진주시,출장소아님,진주시,1995-01-01,3831,진양군,사용
3814,경상남도 창원시,,창원시,1995-01-01,3839,창원군,미사용
3815,경상남도 진해시,,진해시,,,,미사용
3816,경상남도 충무시,,충무시,1995-01-01,3840,통영군,미사용
3817,경상남도 삼천포시,,삼천포시,,3843,사천군,미사용
3818,경상남도 김해시,출장소,김해시,,3838,김해군,사용
3819,경상남도 밀양시,출장소아님,밀양시,1989-01-01,3835,밀양군,사용
3820,경상남도 장승포시,,장승포시,1989-01-01,3841,거제군,미사용
3831,경상남도 진양군,,진양군,,,,미사용
3832,경상남도 의령군,출장소아님,의령군,,,,사용
3833,경상남도 함안군,출장소아님,함안군,,,,사용
3834,경상남도 창녕군,출장소아님,창녕군,,,,사용
3835,경상남도 밀양군,,밀양군,,,,미사용
3836,경상남도 양산군,,양산군,,,,미사용
3836,경상남도 양산군,,동부출장소,,,,미사용
3837,경상남도 울산군,,울산군,,,,미사용
3838,경상남도 김해군,,김해군,,,,미사용
3839,경상남도 창원군,,창원군,,3811,마산시,미사용
3840,경상남도 통영군,,통영군,,,,미사용
3841,경상남도 거제군,,거제군,,,,미사용
3842,경상남도 고성군,출장소아님,고성군,,,,사용
3843,경상남도 사천군,,사천군,,,,미사용
3844,경상남도 남해군,출장소아님,남해군,,,,사용
3845,경상남도 하동군,출장소아님,하동군,,,,사용
3846,경상남도 산청군,출장소아님,산청군,1983-02-15,3845,하동군,사용
3847,경상남도 함양군,출장소아님,함양군,,,,사용
3848,경상남도 거창군,출장소아님,거창군,,,,사용
3849,경상남도 합천군,출장소아님,합천군,,,,사용
3900,제주도,,제주도,,,,미사용
3911,제주도 제주시,,제주시,,,,미사용
3912,제주도 서귀포시,,서귀포시,,,,미사용
3931,제주도 북제주군,,북제주군,,,,미사용
3932,제주도 남제주군,,남제주군,,,,미사용
1116,서울특별시 성북구,출장소아님,성북구,1994-12-26,1117,도봉구,사용
3435,충청남도 논산군,,논산군,,,,미사용
3136,경기도 시흥군,,시흥군,,,,미사용
3115,경기도 부천시,출장소아님,부천시,,,,사용
3435,충청남도 논산군,,계룡출장소,,,,미사용
3805,경상남도 마산시 회원구,,마산시 회원구,1990-07-01,3811,마산시,미사용
3804,경상남도 마산시 합포구,,마산시 합포구,1995-01-01,3811,마산시,미사용
3314,충청북도 청주시 상당구,출장소아님,청주시 상당구,1995-01-01,3311,청주시,사용
3315,충청북도 청주시 흥덕구,출장소아님,청주시 흥덕구,1995-01-01,3311,청주시,사용
3416,충청남도 보령시,출장소아님,보령시,1995-01-01,3413,대천시,사용
3417,충청남도 아산시,출장소아님,아산시,1995-01-01,3414,온양시,사용
3517,전라북도 정읍시,출장소아님,정읍시,1995-01-01,3514,정주시,사용
3618,전라남도 광양시,출장소아님,광양시,1995-01-01,3617,동광양시,사용
3721,경상북도 포항시 남구,출장소아님,포항시 남구,1995-01-01,3711,포항시,사용
3722,경상북도 포항시 북구,출장소아님,포항시 북구,1995-01-01,3711,포항시,사용
3723,경상북도 문경시,출장소아님,문경시,1995-01-01,3719,점촌시,사용
3821,경상남도 울산시 울주구,,울산시 울주구,1995-01-01,3837,울산군,미사용
3822,경상남도 통영시,출장소아님,통영시,1995-01-01,3816,충무시,사용
3823,경상남도 거제시,출장소아님,거제시,1998-09-25,3841,거제군,사용
3200,강원도,,강원도,,,,미사용
1135,서울특별시 금천구,출장소아님,금천구,1995-03-01,1122,구로구,사용
2123,부산광역시 연제구,출장소아님,연제구,1995-03-01,2116,동래구,사용
2124,부산광역시 수영구,출장소아님,수영구,1995-03-01,2117,남구,사용
2125,부산광역시 사상구,출장소아님,사상구,1995-03-01,2118,북구,사용
2317,인천광역시 연수구,출장소아님,연수구,1995-03-01,2313,남구,사용
2318,인천광역시 부평구,출장소아님,부평구,1995-03-01,2314,북구,사용
2319,인천광역시 계양구,출장소아님,계양구,1995-03-01,2314,북구,사용
2415,광주광역시 남구,출장소아님,남구,1995-03-01,2412,서구,사용
2320,인천광역시 강화군,출장소아님,강화군,1995-03-01,3148,경기강화군,사용
2321,인천광역시 옹진군,출장소아님,옹진군,1995-03-01,3149,경기옹진군,사용
2126,부산광역시 기장군,출장소아님,기장군,1995-03-01,3836,경남양산군,사용
2218,대구광역시 달성군,출장소아님,달성군,1995-03-01,3731,경북달성군,사용
3824,경상남도 사천시,출장소아님,사천시,1995-05-10,3817,삼천포시,사용
3120,경기도 평택시,,안중출장소,1995-05-10,3134,평택군,사용
3120,경기도 평택시,,송탄출장소,1995-05-10,3117,송탄시,사용
3411,충청남도 천안시,,북부출장소,,3445,천안군,미사용
3518,전라북도 익산시,,함열출장소,1995-05-10,3543,익산군,사용
3825,경상남도 양산시,출장소,양산시,1996-03-01,3836,양산군,사용
3418,충청남도 논산시,출장소아님,논산시,1996-03-01,3435,논산군,사용
3418,충청남도 논산시,출장소,계룡출장소,1996-03-01,3435,계룡출장소,미사용
3151,경기도 고양시 덕양구,출장소아님,고양시덕양구,1996-03-01,3129,고양시,사용
3152,경기도 고양시 일산구,출장소아님,고양시일산구,1996-03-01,3129,고양시,미사용
3153,경기도 용인시,출장소,용인시,1996-03-01,3145,용인군,미사용
3154,경기도 파주시,출장소아님,파주시,1996-03-01,3137,파주군,사용
3155,경기도 이천시,출장소아님,이천시,1996-03-01,3144,이천군,사용
3336,충청북도 괴산군,출장소,증평출장소,,,,미사용
3618,전라남도 광양시,,광양출장소,1995-01-01,3635,광양군시,미사용
3715,경상북도 구미시,,선산출장소,1995-01-01,3747,선산군,사용
3823,경상남도 거제시,,민원출장소,1995-01-01,3820,장승포시,미사용
2600,울산광역시,,울산광역시,1997-07-15,,,사용
2611,울산광역시 중구,출장소아님,중구,1997-07-15,3801,울산시중구,사용
2612,울산광역시 남구,출장소아님,남구,1997-07-15,3802,울산시남구,사용
2613,울산광역시 동구,출장소아님,동구,1997-07-15,3803,울산시동구,사용
2614,울산광역시 북구,출장소아님,북구,1997-07-15,3821,울산시울주구,사용
2615,울산광역시 울주군,출장소아님,울주군,1997-07-15,3821,울산시울주구,사용
3156,경기도 안성시,출장소아님,안성시,1998-04-01,3146,안성군,사용
3157,경기도 김포시,출장소아님,김포시,1998-04-01,3147,김포군,사용
3612,전라남도 여수시,출장소,여수시,1998-04-01,3615,여천시,사용
3612,전라남도 여수시,,중부민원출장소,1998-04-01,3612,여수시,사용
3612,전라남도 여수시,,도서민원출장소,1998-04-01,3636,여천군,미사용
3411,충청남도 천안시,출장소아님,천안시,,3445,천안군,미사용
3158,경기도 화성시,출장소,화성시,2000-03-21,3135,화성군,사용
3158,경기도 화성시,,동부출장소,2000-03-21,3135,화성군,사용
3159,경기도 광주시,출장소아님,광주시,2000-03-21,3139,광주군,사용
3153,경기도 용인시,,수지출장소,2001-12-24,,,미사용
3518,전라북도 익산시,출장소,익산시,1995-05-10,3513,이리시,사용
3122,경기도 안산시 상록구,출장소아님,상록구,1994-12-  ,3135,화성군,미사용
3341,충청북도 증평군,출장소아님,증평군,2003-08-30,3336,증평출장소,사용
3419,충청남도 계룡시,출장소아님,계룡시,2003-09-19,3418,계룡출장소,사용
3160,경기도 양주시,출장소아님,양주시,2003-10-20,3131,양주군,사용
3161,경기도 포천시,출장소아님,포천시,2003-10-20,3141,포천군,사용
3162,경기도 수원시 영통구,출장소아님,수원시영통구,2003-11-24,3111,수원시,사용
3825,경상남도 양산시,,웅상민원출장소,2004-01-01,,,사용
3818,경상남도 김해시,,장유출장소,2005-04-04,3818,김해시,사용
3163,경기도 고양시 일산동구,출장소아님,고양시일산동구,2005-05-16,3152,고양시일산구,사용
3164,경기도 고양시 일산서구,출장소아님,고양시일산서구,2005-05-16,3152,고양시일산구,사용
3165,경기도 용인시 처인구,출장소아님,용인시처인구,2005-10-31,3153,용인시,사용
3166,경기도 용인시 기흥구,출장소아님,용인시기흥구,2005-10-31,3153,용인시,사용
3167,경기도 용인시 수지구,출장소아님,용인시수지구,2005-10-31,3153,용인시,사용
9111,제주특별자치도 제주시,출장소아님,제주시,2006-07-01,3911,제주시,사용
9112,제주특별자치도 서귀포시,출장소아님,서귀포시,2006-07-01,3912,서귀포시,사용
3420,충청남도 천안시 동남구,출장소아님,천안시동남구,2008-06-23,3411,천안시,사용
3421,충청남도 천안시 서북구,출장소아님,천안시서북구,2008-06-23,3411,천안시,사용
3122,경기도 안산시,출장소아님,안산시,2010-07-01,,,미사용
3168,경기도 안산시 상록구,출장소아님,안산시상록구,2010-07-01,,,사용
3169,경기도 안산시 단원구,출장소아님,안산시단원구,2010-07-01,,,사용
3814,경상남도 창원시,출장소아님,창원시,2010-07-01,,,미사용
3806,경상남도 창원시 의창구,출장소아님,창원시 의창구,2010-07-01,3814,창원시,사용
3807,경상남도 창원시 성산구,출장소아님,창원시 성산구,2010-07-01,3814,창원시,사용
3808,경상남도 창원시 마산합포구,출장소아님,창원시 마산합포구,2010-07-01,3811,마산시,사용
3809,경상남도 창원시 마산회원구,출장소아님,창원시 마산회원구,2010-07-01,3811,마산시,사용
3810,경상남도 창원시 진해구,출장소아님,창원시 진해구,2010-07-01,3815,진해시,사용
3603,광주광역시 북구,출장소아님,광주시북구,1986-11-01,,,미사용
3422,충청남도 당진시,출장소아님,당진시,2012-01-01,3443,당진군,사용
3316,충청북도 청주시 서원구,출장소아님,청주시 서원구,2014-07-01,,,사용
3317,충청북도 청주시 청원구,출장소아님,청주시 청원구,2014-07-01,3331,청원군,사용
9100,제주특별자치도,,제주특별자치도,2006-07-01,3900,제주도,사용
2811,세종특별자치시,출장소아님,세종특별자치시,2012-07-01,3433,연기군,사용
2811,세종특별자치시,,세종특별자치시,2012-07-01,3433,연기군,사용
3170,경기도 여주시,출장소아님,여주시,2013-09-23,3133,여주군,사용
2322,인천광역시 미추홀구,출장소아님,미추홀구,2018-07-01,2313,남구,사용
3211,강원도 춘천시,,춘천시,1995-01-01,3231,춘천군,미사용
3212,강원도 원주시,,원주시,1995-01-01,3234,원주군,미사용
3213,강원도 강릉시,,강릉시,1995-01-01,3244,명주군,미사용
3214,강원도 동해시,,동해시,,,,미사용
3215,강원도 태백시,,태백시,1994-12-26,3245,삼척군,미사용
3216,강원도 속초시,,속초시,,,,미사용
3217,강원도 삼척시,,삼척시,1995-01-01,3245,삼척군,미사용
3231,강원도 춘천군,,춘천군,,,,미사용
3232,강원도 홍천군,,홍천군,,,,미사용
3233,강원도 횡성군,,횡성군,,,,미사용
3234,강원도 원주군,,원주군,,,,미사용
3235,강원도 영월군,,영월군,,,,미사용
3236,강원도 평창군,,평창군,,,,미사용
3237,강원도 정선군,,정선군,,,,미사용
3238,강원도 철원군,,철원군,,,,미사용
3239,강원도 화천군,,화천군,,,,미사용
3240,강원도 양구군,,양구군,,,,미사용
3241,강원도 인제군,,인제군,,,,미사용
3242,강원도 고성군,,고성군,,,,미사용
3243,강원도 양양군,,양양군,,,,미사용
3244,강원도 명주군,,명주군,,,,미사용
3245,강원도 삼척군,,삼척군,,,,미사용
3200,강원특별자치도,,강원특별자치도,2023-06-11,3200,강원도,사용
3211,강원특별자치도 춘천시,출장소아님,춘천시,2023-06-11,3211,춘천시,사용
3212,강원특별자치도 원주시,출장소아님,원주시,2023-06-11,3212,원주시,사용
3213,강원특별자치도 강릉시,출장소아님,강릉시,2023-06-11,3213,강릉시,사용
3214,강원특별자치도 동해시,출장소아님,동해시,2023-06-11,3214,동해시,사용
3215,강원특별자치도 태백시,출장소아님,태백시,2023-06-11,3215,태백시,사용
3216,강원특별자치도 속초시,출장소아님,속초시,2023-06-11,3216,속초시,사용
3217,강원특별자치도 삼척시,출장소아님,삼척시,2023-06-11,3217,삼척시,사용
3232,강원특별자치도 홍천군,출장소아님,홍천군,2023-06-11,3232,홍천군,사용
3233,강원특별자치도 횡성군,출장소아님,횡성군,2023-06-11,3233,횡성군,사용
3235,강원특별자치도 영월군,출장소아님,영월군,2023-06-11,3235,영월군,사용
3236,강원특별자치도 평창군,출장소아님,평창군,2023-06-11,3236,평창군,사용
3237,강원특별자치도 정선군,출장소아님,정선군,2023-06-11,3237,정선군,사용
3238,강원특별자치도 철원군,출장소아님,철원군,2023-06-11,3238,철원군,사용
3239,강원특별자치도 화천군,출장소아님,화천군,2023-06-11,3239,화천군,사용
3240,강원특별자치도 양구군,출장소아님,양구군,2023-06-11,3240,양구군,사용
3241,강원특별자치도 인제군,출장소아님,인제군,2023-06-11,3241,인제군,사용
3242,강원특별자치도 고성군,출장소아님,고성군,2023-06-11,3242,고성군,사용
3243,강원특별자치도 양양군,출장소아님,양양군,2023-06-11,3243,양양군,사용
2219,대구광역시 군위군,출장소아님,군위군,2023-07-01,3732,군위군,사용
3732,경상북도 군위군,,군위군,,,,미사용
